Cód.Prod;Descripción;Descripcion Sabor
62;MANTECA  FORTUNA DE SUERO PILON 5KG;
63;L POLVO  LS ENT ESTUCHE 500G;
64;L POLVO  LS ENT DESLACTO ESTUCHE 500G;
65;QUESO CASANCREM ENTERO 330 GR;
66;L POLVO  LS DESC ESTUCHE 400G;
67;DULCE DE LECHE LS REPOSTERO POTE 400GR;
68;L POLVO  LS ENT BOLSA 25KG;
69;L POLVO LS DESC BOLSA 25KG;
70;LECHE ARMONIA UAT ENT BRIK 1L;
71;QUESO CASANCREM LIGHT 330 GR;
72;QUESO LS DANBO HORMA 3.9 KG;
73;DULCE DE LECHE LS COLONIAL CU#ETE 25KG;
74;POSTRE SERENITO BEBIBLE BOT 135 CM3;
75;VIDACOL BOT 80 GR;
76;KIT DE BANDAS LOCAS PARA COLECCIONAR;
77;SOPA INSTANTANEA SER BOLSA 88 GR;
78;YOGURISIMO +FORTI ENT SACHET 1100G;VAINILLA                                
78;YOGURISIMO +FORTI ENT SACHET 1100G;FRUTILLA                                
79;QUESO CTO RALLADO SOBRE 40G;
80;QUESO CTO RALLADO BOLSA 160G;
81;MOZZ CTO UNIDAD BOLSA 235G;
82;L POLVO MASTELECHE ENTERA BOLSA 25KG;
83;LECHE SER ULTRA DESC C/FIBRA SQU 500 CM3;
84;L POLVO  SER DESC ESTUCHE 400G;
85;LECHE LS UAT ENT C/FE BRIK 1L;
86;LECHE LS UAT ENT C/FE BRIK 1L;
87;ALIM SER LECHE Y JUGO ULTRA SQU 500 CM3;
88;LECHE LS UAT ENT BRIK 1L;
89;LECHE LS UAT ENT BRIK 1L;
90;QUESO LS FIAMBRIN PROCESADO BARRA 2KG;
91;YOGUR CALCI+ BOT 80 GR;
92;ALIM LACTEO DANONINO FRUTILLA PACK 90G;
93;DANONINO FRUTILLA POTE 105GR;
94;ALIM LACTEO DANONINO PACK 161G;
95;POSTRE SERENITO COMUN POTE 120G;
96;FASON LA SUIPACHENSE UAT ENT BRIK 1LT;
97;ALIM LACTEO DANONINO VAINILLA PACK 90G;
98;ALIM LACTEO DANONINO PACK 90G MC;
99;MOZZARELLA LS BOLSA 220 GR;
100;LECHE LS UAT ENT C/AZU BRIK 250CM3;
101;LECHE CHOCOLATADA SERENITO BRIK 1 LITRO;
102;YOGUR SER CLASICO C/FRU POTE 175G;
103;ACTIVIA SACHET 900 GR;
104;YOGUR SER CLAS DESC POTE 195G;
105;LECHE LS UAT ENT C/AZU/FE BRIK 250CM3;
106;MANTECA LA SALADITA CAL PRIMERA UNID 25KG;
107;CONCENT PROT DE SUERO LACTHIS35 BOLSA 25KG;
108;LECHE LS ULTRA ENTERA FORT CALCIO SACH1L;
109;LECHE LS ULTRA DESC FORT CALCIO SACH 1L;
110;CREMA LS PAST POTE 250CM3;
111;ALIM BASE LECHE LS SEREMIX SACH 1L;
112;ALIM BASE LECHE LS SEREMIX 250 CC;
113;ALIM BASE LECHE LS SEREMIX SQ 500CC;
114;POSTRE SER  POTE 125G;
115;LECHE LS ULTRA ENTERA EXTRA CALCIO SAC1L;
116;YOGURISIMO DUO MOUSSE POTE 74GR;
117;LECHE LS ULTRA ENT CALCIO VIT B9 SACH 1L;
118;YOGUR SER DESC FIRME PACK 250 G;
119;LECHE LS ULTRA DESC CALCIO VIT B9 SACH1L;
120;TALA CREMA K/G. G 0 1 KG;
121;DULCE DE LECHE LS ESPECIAL CU#ETE 25KG;
122;MASA MIGA P/FUNDIR EL PRIMO KG;
123;CREMA DOBLE LS PAST POTE 200CC;
124;MANTECA LS EXTRA CON VITAMINA E PAQ 200G;
125;YOGURISIMO ENT C/FRUTA POTE 180 GR;
126;YOGUR SER DESC ED ESP POTE 200G;
127;ALIM LACTEO DANONINO BEBIBLE 100G;
128;DULCE DE LECHE LS HELADERO CU#ETE 25KG;
129;DULCE DE LECHE LS REPOSTERO CU#ETE 25KG;
130;QUESO LS FYMBO HORMA 4KG;
131;QUESO LS HOLANDA HORMA 4KG;
132;QUESO LS ROMANO HORMA 4KG;
133;YOGUR SER C/CEREAL POTE 167 GR;
134;FLAN SERENITO PACK 200 GR;
135;YOGURISIMO C/CEREAL AZUCARAD.150G+14/16G;
136;EL PRIMO DERIV.LACTEO ENT BOLSA 25KG;
137;EL PRIMO DERIV.LACTEO DES BOLSA 25KG;
138;YOGUR SER BATIDO PACK 250G;
139;QUESO LS SBRINZ PIEZA 7.5 KG;
140;QUESO LS SARDO HORMA 3.5KG;
141;POSTRE SERENITO C/CEREAL POTE 118GR;
142;QUESO SARDO CTO FRACC 400G;
143;QUESO CASANTO DANBO BARRA 3.5 KG;
144;CTO QUE REGG HOR 7.5 KG;
145;POSTRE SERENITO DIENTES HIPO POTE 117G;
146;LECHE CINDOR SLIM 200CM3;
147;ACTIMEL 0% PACK 600 GR ACCION GC;
148;KIT SERENITO (AGENDA);
149;QUESO LS PROVOLONE HORMA 5.5KG;
150;ALIM PICNIC JUGO LECHE DESC FORT 1L;
151;DULCE DE LECHE CASANTO POTE 400 GR;
152;QUESO FIAMBRIN CON FIAMBRE BARRA 2KG;
153;L POLVO  LS ENT C/FE ESTUCHE 500G;
154;QUESO LS ROMANO 1/4 HORMA PESO APRO 1.7K;
155;POSTRE SERENITO KUNGFU PANDA POTE 118 GR;
156;LECHE CINDOR 1L;
157;POSTRE SERENITO COMB POTE 125 G CHILE;
158;EL PRIMO DERIV.LAC.ENT.COL BOLSA 25KG;
159;EL PRIMO BASE LACTEA BOLSA 25KG;
160;QUESO LS CREMON HORMA 3 KG;
161;L POLVO LA ANONIMA ENT ESTUCHE 500GR;
162;LECHE LA TANDILERA ULTRA ENT FORT SACH1L;
163;L POLVO LA ANONIMA DESC ESTUCHE 400GR;
164;LECHE LA TANDILERA ULTRA DESC FORT SACH1L;
165;MANTECA LA TANDILERA EXTRA PAQUETE 200G;
166;VIDACOL PACK 320 GR;
167;ACTIMEL PACK 400 GR ACCION GC;
168;YOGURISIMO ENT C/CEREALES POTE 180G;
169;YOGURISIMO FORT EST SACHET 1300GR;
170;CREMA LS UAT POTE 200 CC;
171;MAYONESA GRANJA IRIS POUCHE 350CM3;
172;MAYONESA GRANJA IRIS SACHET  2900 CM3;
173;MAYONESA GRANJA IRIS POUCHE 500CM3;
174;MAYONESA GRANJA IRIS SACH 125CM3;
175;LECHE LS +4 AÑOS UAT ENTERA BRIK 1 L;
176;QUESO CTO PORT SALUT HORMA 3KG;
177;QUESO PORT SALUT CTO FRACC 500G;
178;LECHE LS UAT ENT BRIK 1L(EXP);
179;LECHE LS UAT DESC E\CALCIO BRIK 1L (EXP);
180;LECHE EN POLVO MARTONA ENT FORT SOB 500G;
181;YOGURISIMO C/CEREALES FRUTALES 162GR;
182;POSTRE SERENITO LA COPA POTE 110 G CHILE;
183;KIT VERANO SER;
184;FLAN DANETTE CREMOSO PACKX2 230GR;
185;YOGUR SER CLAS DESC POTE 200GR CL. EXC;
186;L POLVO  MARTONA ENT V/E CAJA 500G;
187;L POLVO  MARTONA ENT V/E CAJA 800G;
188;LECHE LS ULTRA ENTERA E/CALCIO DHA SAC1L;
189;LECHE LS ULTRA DESC E/CALCIO DHA SAC 1L;
190;QUESO LS CREMON FRACC 500 GR;
191;YOGUR GRIEGO 100 GR;
192;LECHE SAB CINDOR BRIK 1L;
193;ALIM LACTEO DANONINO C/CEREAL PACK 120G;
194;LECHE SAB CINDOR BOT 205CM3;
195;LECHE SAB CINDOR BOT 950CM3;
196;CIN LEC ENT.E BOTV 950 CM3;
197;CIN LEC PAR.D BOTV 950 CM3;
198;LECHE SAB CINDOR BRIK 250CM3;
199;LECHE CINDOR EN POLVO 150 GR;
200;LECHE CINDOR EN POLVO 300 GR;
201;LS L.POL ENT-V EST 500 G;
202;0 L.POL FASON BOL 25 KG;
203;CREMA LA RODRIGUENSE UAT POTE 200 CC;
204;L.POLVO LS DESC PLUS BOLSA 25KG;
205;LECHE LS ULTRA ENT FORT C/FE VITB9 SCH1L;
206;DULCE DE LECHE LA RODRIGUENSE POTE 400 G;
207;LS L.POL ENT-V BOL 25 KG;
208;LS L.POL DES-V BOL 25 KG;
209;MANTECA LA RODRIGUENSE EXTRA PAQ. 200G;
210;LECHE LS ULTRA DESC FORT FE VIT B9 SAC1L;
211;EL PRIMO DERIV.LAC.S.QUESO BOLSA 25 KG;
212;QUESO LS CHEDDAR FETEADO SOBRE 180GR;
213;L POLVO ECOLECHE ENT BOLSA 25KG;
214;FNA LEC ENT.P SAC 500 CM3;
215;QUESO LA RODRIGUENSE CREMOSO FRACC 500G;
216;GRASA BUTIRICA TAMBOR 200 KG;
217;MANTECA USO INDUSTRIAL UNID. 25 KG;
218;LS MERC. INT.E CARB 1 L;
219;QUESO LS RALLADO BOLSA 80 G;
220;CREMA LS PAST 40% BIG BAG;
221;QUESO LA RODRIGUENSE REGGIANITO FRAC310G;
222;ACTIVIA BEBIBLE BOT 185G;
223;ACTIVIA C/COLCHON FRUT Y CEREAL 175G;
224;ACTIVIA BEB BOT 190G CHILE;
225;L POLVO LS ENT BIG BAG 500KG;
226;QUESO LS GRANA PAMPEANA 1/4 HORMA 1.7 KG;
227;LS SUERO MAN-V BOL 25 KG;
228;YOGURISIMO MOUSSE PACK 140GR;
229;ACTIVIA SACHET 1100 GR;
230;ALIM SER LECHE JUGO ULTRA FIBRA SACH 1L;
231;YOGUR SER FORT DESC SACHET 1100G;
232;RESERVA YOGUR CALCI+ SACHET 700 GR;
233;QUESO CREMA CASANCREM SABORES 240GR;
234;YOGUR SER FORT DESC SACHET 600 GR;
235;LS LECHE DESC A GRANEL;
236;L POLVO FORTUNA DES FASON BOL 25KG;
237;SALCHICHAS GI JUNIOR VIENA 6UNID;
238;SALCHICHAS GI JUNIOR VIENA 24UNID;
239;EL PRIMO BASE LACTEA BOLSA 20 KG;
240;YOGURISIMO ENT BATIDO POTE 120GR;
241;YOGURISIMO CREMIX BOTELLA 750G;
242;FES JAL FANTA POT 500 G;FRUTILLA                                
243;ACTIVIA BATIDO 0% PACK 250GR;
244;VIDACOL PACK 960 GR;
245;RESERVA MOUSSE YOGUR SER PACK 180GR;
246;RES BOLSA OFERTA 2PACK ACTIMEL MULT 0%;
247;FLAN SERENITO POTE 110 G CHILE;
248;QUESO LS EN CUBOS PATEGRAS SOBRE 150 GR;
249;MANTECA  LS LIGHT EXTRA PAQUETE 200G;
250;YOGUR SER BOT 185 GR;
251;JAMON    COCIDO RYDHANS 3KG;
252;RYD JAMON COCID UNI 1.3 KG;
253;ACTIVIA BATIDO ENTERO PACK 250G;
254;QUESO LS GRANA PAMPEANA FRACC 310 GR;
255;POSTRE SERENITO POCION POTE 117G CHILE;
256;LECHE LS +4 AÑOS ULTRA ENTERA SACHET 1 L;
257;CREMA JUMBO PAST POTE 360CC;
258;QUESO CREMA CASANCREM POTE 150G;
259;QUESO BLANCO CASANCREM DIET POTE 150G;
260;SALCHICHAS GRANJA IRIS VIENA 6 UNID;
261;SALCHICHAS GRANJA IRIS VIENA 10 UNID;
262;SALCHICHA GRANJA IRIS LIGHT PAQ 5 UNI;
263;ACTIVIA X6 125 GR 1POTE GRATIS;
264;L POLVO  LS ENT DESLACTO BOLSA 25 KG;
265;QUESO CASANCREM ENTERO 330GR;
266;LR AGUA MINER BOT 1.5 L;
267;AGUA GI  MINERAL                   BOT 1.5 L;
268;ACTIVIA CON COLCHON POTE 180G;
269;AGUA GI  MINERAL                   B 500 CM3;
270;MANTECA  LS EXTRA PAQUETE 500G;
271;QUESO CASANCREM LIGHT 330GR;
272;QUESO LS DANBO HORMA 3.5KG;
273;POSTRE DANETTE PACK X2 230 GR;
274;MASCARA SERENITO;
275;EL PRIMO DERIV LAC S QUESO BOLSA 20KG;
276;SUERO DE RICOTTA EL PRIMO BOLSA 20KG;
277;PACK LS CREMA 250CC + VASO BATIDOR;
278;PACK FINLANDIA LS 3 POTES + CUCH UNTADOR;
279;MANTECA FRIENDSHIP EXTRA PAQ 454GR;
280;LS MERC. ENT.S CARB 1 L;
281;LECHE LS JUNIOR ULTRA ENT FORT SAC 1L;
282;LECHE LS UAT ENT C/AZU FORT SLIM 200CC;
283;MORTADELA GRANJA IRIS UNID 1.8KG;
284;POSTRE SERENITO VERRUGAS DE BRUJA 117GR;
285;MAYONESA GRANJA IRIS POUCHE 2000CM3;
286;YT HEL DE POT 120 CM3;VAINILLA                                
286;YT HEL DE POT 120 CM3;FRUTILLA                                
286;YT HEL DE POT 120 CM3;ANANA
286;YT HEL DE POT 120 CM3;DURAZNO                                 
286;YT HEL DE POT 120 CM3;DULCE DE LECHE                          
286;YT HEL DE POT 120 CM3;CHOCOLATE                               
286;YT HEL DE POT 120 CM3;NATURAL                                 
286;YT HEL DE POT 120 CM3;CEREALES
286;YT HEL DE POT 120 CM3;CEREZA
287;YT HEL DE POT 650 CM3;VAINILLA                                
287;YT HEL DE POT 650 CM3;FRUTILLA                                
287;YT HEL DE POT 650 CM3;ANANA
287;YT HEL DE POT 650 CM3;DURAZNO                                 
287;YT HEL DE POT 650 CM3;DULCE DE LECHE                          
287;YT HEL DE POT 650 CM3;CHOCOLATE                               
287;YT HEL DE POT 650 CM3;NATURAL                                 
287;YT HEL DE POT 650 CM3;CEREALES
287;YT HEL DE POT 650 CM3;CEREZA
288;LECHE LA ANONIMA ULTRA ENT FORT SAC 1L;
289;LECHE LA ANONIMA ULTRA DES FORT SAC 1L;
290;ALIM SER LECHE Y JUGO ULTRA CON FIBRA 1L;
291;ALIM SER LECHE Y JUGO UAT FIBRA 200CC;
292;L POLVO LS INTEGRAL INST DESL SOBRE 400G;
293;SUERO DE QUESO FNA BOLSA 25KG;
294;MANTECA CLAMOR 3% A.DE COCO PILON 15 KG;
295;ALIM SER LECHE Y JUGO UAT CON FIBRA 250CC;
296;QUESO LS RALLADO BOLSA 250G;
297;SUERO DE QUESO LEITESOL BOLSA 25KG;
298;PACK D DE LECHE LS REP 500GR + JARRITA MED;
299;BANDEJA DESAYUNO LA SERENISIMA 4 UNIDADES;
300;HERMETICO LA SERENISIMA CHICO;
301;HERMETICO LA SERENISIMA MEDIANO;
302;HERMETICO LA SERENISIMA GRANDE;
303;POSTRE SER PACK 200GR;
304;POSTRE SERENITO C CONFITES POTE 120G;
305;LECHE ARMONIA ENTERA 3% SACHET 1L;
306;LECHE ARMONIA ULTRA P.DESC 1% SACHET1L;
307;LECHE FORTUNA ULTRA ENTERA FORT SACH 1L;
308;DULCE DE LECHE LS EST. ACTUAL POTE 400G;
309;MANTECA DON PASCUAL PRIMERA UNID. 25KG;
310;DULCE DE LECHE A GRANEL;
311;POSTRE SERENITO STAR WARS ROJO 118G;
312;POSTRE SERENITO STAR WARS AZUL 118G;
313;QUESO ARMONIA RALLADO SOBRE 40G;
314;QUESO LS CREMON UNTABLE POTE 200 GR;
315;POSTRE SERENITO CONF POTE 117G S CARGO;
316;QUESO ARMONIA RALLADO BOLSA 250G;
317;LECHE FORTUNA ULTRA DESC FORT SACH 1L;
318;QUESO CTO REGGIANITO PINT PIEZA 7.5KG;
319;QUESO CTO REGGIANITO PINT MITAD 3.7KG;
320;QUESO CTO SBRINZ PIEZA 7.5KG;
321;QUESO CTO SBRINZ MITAD 3.7KG;
322;QUESO FORTUNA TYBO BARRA 3.8 KG;
323;L.POLVO LS ENTERA INST.BOLSA 25 KG.;
324;L POLVO LS DESCR INSTANTANEA BOLSA 25KG;
325;CREMA LS CHANTILLY AEROSOL 250G;
326;"CREMA LS CHANTILLY ""LIGHT"" AEROSOL 250G";
327;LECHE LS CRECER 6 MESES EN AD.BRIK 250CC;
328;QUESO LS RALLADO SOBRE 40G;
329;QUESO LS RALLADO BOLSA 160G;
330;DANETTE DUPLETTE PACK X 2 190GR;
331;VASO TERMICO PLASTICO MES DE LA SALUD;
332;YOGUR SER LIBRE BOT 185 GR;
333;YOGURISIMO GO BOT 185 GR;
334;SOPA INSTANTANEA SER ESTUCHE 44G;
335;RESERVA ACTIMEL NATURAL PACK 1200 GR;
336;DINO BATUCADA;
337;QUESO LS PORT SALUT FRACC 500G;
338;QUESO LS PORT SALUT LIGHT FRACC 500G;
339;LECHE LS CRECER INFANTIL UAT FORT 250CC;
340;GRAN COMPRA ENT BEB SACHET 1000GR;
341;SOPA INSTANTANEA SER SOBRE 11 GR;
342;DULCE DE LECHE LS.EST.ACTUAL POTE 250G;
343;DULCE DE LECHE LS.EST.ACTUAL POTE 500G;
344;DULCE DE LECHE LS.EST.ACTUAL POTE 1KG;
345;LECHE LS UAT ENT BOTELLA 1L;
346;LECHE LS UAT DESC E/CALCIO BOT 1L;
347;MANTECA CARREFOUR EXTRA PAQUETE 200G;
348;LECHE LS CRECER 1 A 3 UAT BRIK 1L;
349;LECHE ARMONIA ULTRA ENT MICROF SQU 1L;
350;LECHE ARMONIA ULTRA DESC MICROF SQU 1L;
351;MANTECA LS LIGHT UNTABLE POTE 200GR;
352;MANTECA  LS UNTABLE EXTRA PAQ. 100G;
353;MANTECA LA PRIMITIVA CAL.PRIMERA PAQ 200G;
354;MANTECA  LS UNTABLE EXTRA PAQ. 200G;
355;MANTECA LA PRIMITIVA CAL.PRIMERA PAQ 500G;
356;MANTECA  LS EXTRA CON SAL PAQUETE 200G;
357;YOGURISIMO LICUADO BOTELLA 190G CHILE;
358;GRAN COMPRA ENT BEB SACHET 1100GR;
359;POSTRE SERENITO BOO POTE 120G;VAINILLA                                
360;LECHE ARMONIA UAT ENTERA BRIK 1L;
361;LECHE ARMONIA UAT P.DESC 1% BRIK 1L;
362;BOLSA AHORRO YSS C/CEREAL AZUC 492 GR;
363;BOLSA YOGURISIMO GO X3;
364;L POLVO LS ENT FORT FE ZINC VIT CAJA 1KG;
365;QUESO CHUBUT HORMA 3 KG;
366;LECHE SULECHE UAT ENT BRIK 1L;
367;QUESO LS PATEGRAS HORMA 4KG;
368;YOGUR SER FORT DESC SACHET 1100G;
369;YOGUR SER FORT DESC SACHETON 1035 GR;
370;MANTECA  LS UNTABLE EXTRA PAQ. 500G;
371;QUESO CREMA CASANCREM POTE 300GR;
372;QUESO BLANCO CASANCREM DIET POTE 300GR;
373;LECHE LS CRECER INFANTIL ULTRA FORT 1L;
374;QUESO   CREMOSO CASANTO 1/2 HORMA 2.3KG;
375;MANTECA VEA EXTRA PAQUETE 200G;
376;QUESO LS EN HEBRAS SOBRE 150 GR;
377;MAYONESA GRANJA IRIS POUCHE 250CM3;
378;QUESO LS CREMOSO FRACC 500G;
379;MANTECA TOAY EXTRA PAQUETE 200G;
380;CREMA LODISER PAST CONT GRASO 39% SACH5L;
381;CREMA LODISER PAST CONT GRASO 45% SACH5L;
382;MANTECA LODISER EXTRA UNID 5KG;
383;MANTECA LODISER EXTRA UNID 25KG;
384;L POLVO LADHA ENT INST FORT ESTUCHE 500G;
385;DULCE DE LECHE LS REPOSTERO IND.CU#ETE25KG;
386;MANTECA COOP.EXTRA PAQUETE 200G;
387;LECHE LS CRECER HASTA 6 MESES BRIK 250CC;
388;QUESO CTO REGGIANITO PINT PIEZA 5KG;
389;L POLVO NOURALAC ENT INST FORT EST 500G;
390;L POLVO LS ENT FORT FE ZINC VIT CAJA 500G;
391;L POLVO LS ENT FORT FE ZINC VIT SOBRE 500G;
392;L POLVO MARTONA ENTERA SOBRE 500G;
393;QUESO LS GOYA HORMA 5KG;
394;SUERO DE RICOTTA EL PRIMO BOLSA 25 KG.;
395;DERIVADO CREMON FULL FAT BOLSA 25 KG;
396;SUERO DE QUESO ARMONIA BOLSA 25KG;
397;MANTECA JUMBO EXTRA PAQUETE 500G;
398;MANTECA NORTE EXTRA PAQUETE 200G;
399;L POLVO MARTONA ENT V/E SOBRE 1KG;
400;QUESO JUMBO GOUDA FRACC 350GR;
401;QUESO JUMBO PATEGRAS FRACC 350GR;
402;YOGUR SER FIBRAS PACK 250G;
403;QUESO JUMBO RALLADO BOLSA 150G;
404;LECHE LS UAT ORGANICA BRIK 1L;
405;LECHE LS ULTRA ENT FORT C/FE SQU 1L;
406;DULCE DE LECHE LS COLONIAL POTE 400 GR;
407;STO FLAN C/DDL PACK ** **;VAINILLA                                
408;YOGURISIMO GRIEGO PACK X2 240GR;
409;POSTRE SERENITO BOMBAS CROC 118 GR;
410;JUG.TRO. NATURAL                  CAR 1890CC;NARANJA                                 
411;SUERO DE RICOTTA CLAMOR BOLSA 25KG;
412;LECHE JUMBO UAT ENT FORT BOTELLA 1L;
413;LECHE JUMBO UAT DESC E/CALCIO BOT 1L;
414;ACTIMEL PACK 1200 GR;
415;YOGURISIMO FORTIF ENTERO SACHET 1250GR;
416;LECHE LS ULTRA ENTERA E/CALCIO DHA SQ 1L;
417;LECHE LS ULTRA DESC E/CALCIO DHA SQ 1L;
418;QUESO LS SARDO 1/2 HORMA PESO APROX 1.75KG;
419;L POLVO MONTEX ENT INST ESTUCHE 500G;
420;POSTRE DANETTE PACK 190GR PARA URUGUAY;
421;YOGUR SER LIBRE BOT 200G PROY CASA;
422;RESERVA VIDACOL PACK 480 GR;
423;YOGURISIMO FORT ENT SACHET 1300G;
424;RESERVA SER 55 GR;
425;ACTIVIA BATIDO ENTERO PACK 500 GR;
426;DULCE DE LECHE CLAMOR CLASICO CUÑETE 10KG;
427;DULCE DE LECHE CLAMOR REPOST.CUÑETE 10KG;
428;DULCE DE LECHE CLAMOR HELAD. CUÑETE 10KG;
429;DERIVADO CLAMOR FULL FAT BOLSA 25KG;
430;ALIM LACTEO DANONINO BEBIBLE 185 GR USO INT;
431;ACTIVIA FIBRABALANCE PACK 250GR;
432;FLAN SERENITO PACK X2 210GR;
433;SOPA INSTANTANEA SER ESTUCHE 44 GR;
434;POSTRE SERENITO ERA DE HIELO 114 GR;
435;YOGURISIMO PACHORRA BOT 185 GR;
436;LECHE FORTUNA UAT ENT FORT BRIK 1L;
437;L POLVO LS DESC SOBRE 5G (100 UNID);
438;DULCE DE LECHE LS COLONIAL 25G (120 UNI);
439;LECHE FORTUNA UAT DESC FORT BRIK 1L;
440;LECHE LS ULTRA ENT FORT VIT A C D SQU 1L;
441;LECHE LS ULTRA P.DES.LIVIANA 1%SQUARE 1L;
442;LECHE MARTONA UAT ENTERA BRIK 1 L;
443;QUESO LS RALLADO SOBRE 8G (100 UNID);
444;FNA QUE REGG HOR 7.5 KG;
445;FNA QUE SBRIN HOR 7.5 KG;
446;DULCE DE LECHE LS CLASICO POTE 400 GR;
447;QUESO LS GOUDA LIGHT FRACC 340G;
448;LECHE LS ULTRA ENT CLASICA 3% SACHET1L;
449;LECHE LS ULTRA DESC EXTRA CA Y VIT SAC1L;
450;LECHE LS ULTRA ORGANICA SQU 1L;
451;LECHE MARTONA PAST ENT FORT SACH 1L;
452;LECHE LS ULTRA ENT SQU 1L;
453;LECHE MARTONA PAST ENT FORT SACH 1/2 CC;
454;LECHE LS ULTRA ENT CLASICA 3% SQUARE 1L;
455;ACTIVIA SACHET 700G;
456;SERENITO PATITAS DE ARAÑA POTE 119GR;
457;DANONINO CEREALES PACK 2X45G;
458;LECHE MARTONA ULTRA ENTERA SACH 1L;
459;QUESO LS PORT SALUT LIGHT UNT POTE 200GR;
460;QUESO LS PORT SALUT UNTABLE POTE 200G;
461;MANTECA  MARTONA EXTRA PAQUETE 200G;
462;DULCE DE LECHE LA MARTONA CLASICO 10 KG;
463;L.POL LS  ENTERA SOBRE 400 G.;
464;ACTIMEL PROMO TUPPER+1 PACK 400GR;
465;ACTIMEL PROMO TUPPER+2 PACK 800GR;
466;L.POLVO LS DESCREMADA SOBRE 300G;
467;QUESO LS FIAMBRIN PROC UNTABLE POTE 200G;
468;D.LEC LM  CLASICO POTE 500 G.;
469;RESERVA YOGURISIMO PAPILLA POTE 115G;
470;QUESO LS CREMON RED.CALORIAS HORM 3 KG;
471;QUESO CTO RALLADO BOLSA 500G;
472;CREMA LS PAST POTE 360 CC;
473;CREMA MAR CHIQUITA POTE 200CM3;
474;DANONINO CAJITA SORPRESA PACK 180G;
476;QUESO LS CREMON RED.CALORIAS FRACC500G;
477;DANONINO POLAR PACK X4 322GR;
478;LECHE MARTONA ENTERA PAST HOMOG 500CM3;
479;LECHE MARTONA ENTERA PAST HOMOG 1L;
